Product_ID,Category,Base_Cost,Unit_Price
SKU-2000,Fitness,190.4,274.3
SKU-2001,Home & Kitchen,475.6,905.77
SKU-2002,Fitness,367.34,857.68
SKU-2003,Fashion,301.34,648.45
SKU-2004,Fashion,82.23,184.9
SKU-2005,Electronics,82.22,169.08
SKU-2006,Beauty,33.75,70.87
SKU-2007,Fitness,433.76,999.36
SKU-2008,Electronics,302.55,461.26
SKU-2009,Beauty,355.5,652.79
SKU-2010,Fitness,15.19,22.6
SKU-2011,Home & Kitchen,485.11,1205.0
SKU-2012,Fitness,417.06,1012.32
SKU-2013,Fashion,110.11,137.78
SKU-2014,Fashion,95.0,201.14
SKU-2015,Home & Kitchen,95.79,230.17
SKU-2016,Electronics,155.6,223.25
SKU-2017,Beauty,264.75,513.17
SKU-2018,Fitness,218.81,522.99
SKU-2019,Fashion,149.16,185.57
SKU-2020,Electronics,307.87,648.57
SKU-2021,Home & Kitchen,74.05,117.48
SKU-2022,Fashion,149.61,359.32
SKU-2023,Home & Kitchen,186.35,458.86
SKU-2024,Fitness,230.75,560.16
SKU-2025,Beauty,393.66,715.07
SKU-2026,Fashion,103.84,240.98
SKU-2027,Fashion,259.55,596.42
SKU-2028,Fitness,298.25,481.62
SKU-2029,Electronics,27.99,63.75
SKU-2030,Beauty,305.73,381.58
SKU-2031,Fashion,89.41,176.6
SKU-2032,Beauty,37.2,55.76
SKU-2033,Fashion,474.7,644.04
SKU-2034,Beauty,482.99,627.91
SKU-2035,Home & Kitchen,405.16,852.93
SKU-2036,Fashion,155.78,255.77
SKU-2037,Beauty,53.35,114.29
SKU-2038,Electronics,343.7,441.64
SKU-2039,Home & Kitchen,222.88,358.81
SKU-2040,Home & Kitchen,65.41,124.37
SKU-2041,Electronics,250.11,557.23
SKU-2042,Beauty,22.02,35.55
SKU-2043,Fitness,455.11,916.44
SKU-2044,Electronics,133.1,313.02
SKU-2045,Beauty,332.95,666.11
SKU-2046,Electronics,159.3,239.4
SKU-2047,Electronics,262.43,323.24
SKU-2048,Fashion,275.62,642.51
SKU-2049,Beauty,96.5,118.47
SKU-2050,Fitness,484.94,1133.36
SKU-2051,Fashion,388.69,733.7
SKU-2052,Electronics,470.05,1137.89
SKU-2053,Electronics,447.94,1002.68
SKU-2054,Electronics,300.96,751.59
SKU-2055,Beauty,461.33,763.93
SKU-2056,Beauty,48.8,107.23
SKU-2057,Fashion,102.01,175.71
SKU-2058,Fitness,27.39,49.95
SKU-2059,Fashion,166.04,334.7
SKU-2060,Home & Kitchen,197.4,461.08
SKU-2061,Electronics,139.32,345.42
SKU-2062,Electronics,415.23,912.99
SKU-2063,Electronics,181.59,316.53
SKU-2064,Fashion,144.06,251.78
SKU-2065,Fashion,273.63,590.73
SKU-2066,Electronics,74.76,112.92
SKU-2067,Fashion,402.09,540.25
SKU-2068,Beauty,41.9,69.6
SKU-2069,Beauty,493.51,776.49
SKU-2070,Fashion,387.26,613.88
SKU-2071,Electronics,103.36,155.42
SKU-2072,Fashion,7.73,9.7
SKU-2073,Fashion,408.65,499.88
SKU-2074,Fashion,354.89,881.56
SKU-2075,Home & Kitchen,365.86,642.49
SKU-2076,Beauty,386.78,657.38
SKU-2077,Fitness,41.65,86.78
SKU-2078,Fitness,182.44,270.69
SKU-2079,Home & Kitchen,62.36,151.84
SKU-2080,Fashion,432.24,960.54
SKU-2081,Home & Kitchen,313.53,412.68
SKU-2082,Home & Kitchen,168.79,294.18
SKU-2083,Electronics,36.46,85.42
SKU-2084,Beauty,158.94,385.93
SKU-2085,Fitness,165.97,300.01
SKU-2086,Fashion,366.16,731.38
SKU-2087,Fitness,320.59,454.32
SKU-2088,Fitness,444.17,1105.33
SKU-2089,Beauty,238.75,358.41
SKU-2090,Fitness,64.2,155.72
SKU-2091,Fitness,358.06,732.07
SKU-2092,Home & Kitchen,381.59,759.39
SKU-2093,Beauty,282.83,527.9
SKU-2094,Electronics,386.63,579.9
SKU-2095,Fashion,249.43,356.56
SKU-2096,Fitness,263.75,392.1
SKU-2097,Fashion,216.63,312.46
SKU-2098,Electronics,17.58,38.91
SKU-2099,Fashion,58.41,96.68
SKU-2100,Electronics,20.56,26.22
SKU-2101,Home & Kitchen,320.02,787.2
SKU-2102,Fitness,160.61,377.26
SKU-2103,Electronics,256.74,617.74
SKU-2104,Fashion,454.25,1132.62
SKU-2105,Fitness,128.4,183.11
SKU-2106,Home & Kitchen,208.14,356.98
SKU-2107,Fitness,379.0,828.38
SKU-2108,Electronics,118.26,248.92
SKU-2109,Home & Kitchen,43.11,60.36
SKU-2110,Fashion,148.43,335.54
SKU-2111,Home & Kitchen,84.8,126.5
SKU-2112,Home & Kitchen,465.2,693.6
SKU-2113,Beauty,405.02,768.75
SKU-2114,Home & Kitchen,318.53,627.77
SKU-2115,Home & Kitchen,436.37,852.72
SKU-2116,Fitness,402.82,531.29
SKU-2117,Fashion,97.35,227.87
SKU-2118,Fitness,446.82,690.46
SKU-2119,Fitness,271.97,372.16
SKU-2120,Electronics,404.68,953.17
SKU-2121,Fitness,448.57,1095.56
SKU-2122,Beauty,162.41,376.92
SKU-2123,Beauty,59.48,133.97
SKU-2124,Electronics,117.83,241.77
SKU-2125,Fashion,216.42,414.69
SKU-2126,Fashion,409.92,538.26
SKU-2127,Fitness,431.06,746.16
SKU-2128,Fitness,8.44,14.22
SKU-2129,Fitness,257.82,396.44
SKU-2130,Fashion,211.62,452.96
SKU-2131,Home & Kitchen,114.94,212.02
SKU-2132,Beauty,64.33,83.97
SKU-2133,Home & Kitchen,172.12,255.81
SKU-2134,Home & Kitchen,471.74,985.1
SKU-2135,Fashion,164.99,214.32
SKU-2136,Home & Kitchen,261.8,603.86
SKU-2137,Electronics,352.99,650.8
SKU-2138,Fitness,185.0,337.58
SKU-2139,Electronics,486.03,957.54
SKU-2140,Beauty,481.41,1093.8
SKU-2141,Fitness,129.63,214.17
SKU-2142,Home & Kitchen,251.14,522.73
SKU-2143,Beauty,153.93,297.92
SKU-2144,Fitness,146.0,225.88
SKU-2145,Home & Kitchen,23.26,54.48
SKU-2146,Electronics,306.73,686.05
SKU-2147,Fitness,253.83,521.87
SKU-2148,Home & Kitchen,30.48,70.28
SKU-2149,Electronics,142.93,332.67
SKU-2150,Beauty,454.59,964.13
SKU-2151,Beauty,123.58,282.77
SKU-2152,Beauty,76.72,161.63
SKU-2153,Beauty,247.28,515.38
SKU-2154,Fashion,492.9,987.87
SKU-2155,Fitness,124.82,271.92
SKU-2156,Fitness,337.71,474.88
SKU-2157,Fashion,382.0,895.84
SKU-2158,Home & Kitchen,122.63,286.14
SKU-2159,Home & Kitchen,365.47,452.46
SKU-2160,Beauty,187.05,425.27
SKU-2161,Electronics,317.99,434.86
SKU-2162,Home & Kitchen,318.6,521.12
SKU-2163,Electronics,270.21,585.43
SKU-2164,Fitness,49.69,70.01
SKU-2165,Electronics,418.47,947.15
SKU-2166,Fitness,163.79,373.73
SKU-2167,Fashion,97.33,181.01
SKU-2168,Fashion,25.18,30.43
SKU-2169,Beauty,297.49,468.0
SKU-2170,Home & Kitchen,340.39,681.46
SKU-2171,Beauty,13.21,32.7
SKU-2172,Fitness,258.49,522.5
SKU-2173,Beauty,117.12,180.1
SKU-2174,Electronics,324.36,656.57
SKU-2175,Fitness,91.31,173.67
SKU-2176,Fashion,347.01,768.21
SKU-2177,Home & Kitchen,196.43,263.03
SKU-2178,Fitness,468.68,1026.1
SKU-2179,Fitness,73.07,139.1
SKU-2180,Electronics,173.83,426.21
