Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Ad_Source,Discount_Pct,Category,Base_Cost,Unit_Price,Gross_Sales,Net_Profit
ORD-900000,2025-02-11 20:00:00,CUST-31234,SKU-2336,5,Affiliate,0.1,Fitness,428.45,625.28,2813.76,671.51
ORD-900001,2025-11-27 14:00:00,CUST-30301,SKU-2353,4,Affiliate,0.4,Home & Kitchen,85.65,183.53,440.47,97.87
ORD-900002,2025-01-02 05:00:00,CUST-31420,SKU-2615,1,Instagram_Ad,0.0,Beauty,460.83,954.07,954.07,493.24
ORD-900003,2026-03-01 19:00:00,CUST-34628,SKU-2063,1,Affiliate,0.2,Electronics,181.59,316.53,253.22,71.63
ORD-900004,2025-05-09 12:00:00,CUST-30768,SKU-2067,1,Instagram_Ad,0.0,Fashion,402.09,540.25,540.25,138.16
ORD-900005,2025-06-13 04:00:00,CUST-31404,SKU-2530,1,Google_Search,0.0,Home & Kitchen,407.39,653.74,653.74,246.35
ORD-900006,2025-11-09 03:00:00,CUST-30443,SKU-2014,1,Google_Search,0.1,Fashion,95.0,201.14,181.03,86.03
ORD-900007,2025-09-08 18:00:00,CUST-33104,SKU-2600,1,Direct_Referral,0.0,Home & Kitchen,88.62,128.45,128.45,39.83
ORD-900008,2025-06-22 06:00:00,CUST-34355,SKU-2765,1,Instagram_Ad,0.1,Electronics,287.1,465.7,419.13,132.03
ORD-900009,2026-02-01 08:00:00,CUST-33305,SKU-2235,1,Google_Search,0.1,Electronics,362.61,608.85,547.96,185.35
ORD-900010,2025-04-18 00:00:00,CUST-31538,SKU-2591,1,Instagram_Ad,0.0,Fitness,322.23,801.91,801.91,479.68
ORD-900011,2025-08-19 10:00:00,CUST-33930,SKU-2285,1,Google_Search,0.0,Electronics,22.79,42.69,42.69,19.9
ORD-900012,2026-03-20 18:00:00,CUST-31331,SKU-2930,3,Google_Search,0.0,Fitness,73.98,144.56,433.68,211.74
ORD-900013,2026-03-26 09:00:00,CUST-30069,SKU-2558,5,Email_Campaign,0.0,Beauty,378.79,868.12,4340.6,2446.65
ORD-900014,2025-04-14 13:00:00,CUST-33435,SKU-2086,3,Affiliate,0.0,Fashion,366.16,731.38,2194.14,1095.66
ORD-900015,2026-03-26 11:00:00,CUST-30480,SKU-2333,1,Instagram_Ad,0.1,Home & Kitchen,62.46,155.85,140.26,77.8
ORD-900016,2026-01-13 10:00:00,CUST-34094,SKU-2689,1,Instagram_Ad,0.0,Fitness,97.59,214.14,214.14,116.55
ORD-900017,2025-08-31 22:00:00,CUST-33496,SKU-2952,2,Google_Search,0.1,Beauty,91.81,181.57,326.83,143.21
ORD-900018,2025-01-03 00:00:00,CUST-32793,SKU-2332,1,Instagram_Ad,0.4,Beauty,12.12,18.14,10.88,-1.24
ORD-900019,2025-06-10 22:00:00,CUST-32892,SKU-2860,3,Direct_Referral,0.1,Home & Kitchen,388.89,859.21,2319.87,1153.2
ORD-900020,2025-07-27 01:00:00,CUST-31198,SKU-2791,1,Instagram_Ad,0.0,Beauty,295.18,637.19,637.19,342.01
ORD-900021,2026-03-15 13:00:00,CUST-32372,SKU-2042,2,Instagram_Ad,0.0,Beauty,22.02,35.55,71.1,27.06
ORD-900022,2025-02-24 13:00:00,CUST-31892,SKU-2831,1,Direct_Referral,0.0,Beauty,228.96,453.9,453.9,224.94
ORD-900023,2025-04-01 07:00:00,CUST-31883,SKU-2792,1,Google_Search,0.1,Electronics,255.41,476.57,428.91,173.5
ORD-900024,2025-09-14 03:00:00,CUST-30797,SKU-2570,3,Instagram_Ad,0.0,Home & Kitchen,259.42,509.14,1527.42,749.16
ORD-900025,2025-05-25 13:00:00,CUST-30017,SKU-2785,1,Instagram_Ad,0.2,Home & Kitchen,454.68,1074.71,859.77,405.09
ORD-900026,2025-02-17 15:00:00,CUST-30043,SKU-2497,1,Google_Search,0.4,Fitness,43.48,78.37,47.02,3.54
ORD-900027,2025-02-13 09:00:00,CUST-30154,SKU-2451,1,Google_Search,0.2,Beauty,281.41,563.72,450.98,169.57
ORD-900028,2025-06-10 14:00:00,CUST-34962,SKU-2157,3,Affiliate,0.1,Fashion,382.0,895.84,2418.77,1272.77
ORD-900029,2025-09-25 08:00:00,CUST-33448,SKU-2699,3,Google_Search,0.1,Home & Kitchen,243.16,465.5,1256.85,527.37
ORD-900030,2025-09-28 02:00:00,CUST-34838,SKU-2715,1,Instagram_Ad,0.0,Fashion,465.12,1159.7,1159.7,694.58
ORD-900031,2025-07-11 01:00:00,CUST-34080,SKU-2027,2,Instagram_Ad,0.1,Fashion,259.55,596.42,1073.56,554.46
ORD-900032,2025-12-28 18:00:00,CUST-31425,SKU-2148,2,Google_Search,0.0,Home & Kitchen,30.48,70.28,140.56,79.6
ORD-900033,2025-08-18 12:00:00,CUST-34320,SKU-2307,1,Google_Search,0.0,Home & Kitchen,164.86,369.66,369.66,204.8
ORD-900034,2025-03-02 19:00:00,CUST-34312,SKU-2956,1,Google_Search,0.1,Beauty,261.86,532.97,479.67,217.81
ORD-900035,2025-12-14 14:00:00,CUST-33639,SKU-2537,1,Instagram_Ad,0.1,Beauty,127.44,265.77,239.19,111.75
ORD-900036,2025-11-21 18:00:00,CUST-34126,SKU-2853,1,Google_Search,0.2,Beauty,449.54,1034.15,827.32,377.78
ORD-900037,2025-12-14 11:00:00,CUST-31892,SKU-2306,2,Affiliate,0.0,Beauty,260.57,554.57,1109.14,588.0
ORD-900038,2025-09-17 17:00:00,CUST-30897,SKU-2243,1,Instagram_Ad,0.0,Home & Kitchen,188.23,432.59,432.59,244.36
ORD-900039,2025-10-18 13:00:00,CUST-33424,SKU-2059,4,Instagram_Ad,0.1,Fashion,166.04,334.7,1204.92,540.76
ORD-900040,2026-02-26 14:00:00,CUST-34540,SKU-2168,1,Google_Search,0.1,Fashion,25.18,30.43,27.39,2.21
ORD-900041,2025-03-07 11:00:00,CUST-31258,SKU-2273,1,Email_Campaign,0.1,Fitness,457.05,572.0,514.8,57.75
ORD-900042,2025-02-24 22:00:00,CUST-32015,SKU-2944,1,Instagram_Ad,0.0,Fashion,107.18,238.5,238.5,131.32
ORD-900043,2025-04-05 13:00:00,CUST-34833,SKU-2285,1,Affiliate,0.0,Electronics,22.79,42.69,42.69,19.9
ORD-900044,2025-11-14 04:00:00,CUST-31702,SKU-2392,3,Google_Search,0.2,Home & Kitchen,189.15,268.72,644.93,77.48
ORD-900045,2025-10-02 09:00:00,CUST-30873,SKU-2430,1,Google_Search,0.1,Fitness,75.78,135.73,122.16,46.38
ORD-900046,2025-07-30 01:00:00,CUST-30565,SKU-2446,1,Direct_Referral,0.0,Electronics,493.07,1035.65,1035.65,542.58
